,supplier,tariff_name,supply_region,plan_type,discount,duration,standing_charge,el_pso_levy,day_unit,peak_unit,night_unit,ev_unit,ev_overage_unit,ev_kwh_limit,fit_unit,extra,cash_bonus,update_date,gas_discount,gas_standing_charge,gas_unit_rate,gas_carbon_tax
136,Electric Ireland,NS-DN Green Electricity NightSaver,urban,day/night,0.0550,12 months,328.580500,42.248400,35.2689120000,35.2689120000,17.4902490000,,,,19.5000,[],0.000000,2025-04-02,,,,
137,Electric Ireland,NS-DN Green Electricity NightSaver,rural,day/night,0.0550,12 months,400.476900,42.248400,35.2689120000,35.2689120000,17.4902490000,,,,19.5000,[],0.000000,2025-04-02,,,,
154,Electric Ireland,NS-DN Green Electricity NightSaver & Gas,urban dual,day/night,0.0850,12 months,328.580500,42.248400,34.1492640000,34.1492640000,16.9350030000,,,,19.5000,[],0.000000,2025-04-02,0.0850,155.957200,10.6516980000,1.251320
155,Electric Ireland,NS-DN Green Electricity NightSaver & Gas,rural dual,day/night,0.0850,12 months,400.476900,42.248400,34.1492640000,34.1492640000,16.9350030000,,,,19.5000,[],0.000000,2025-04-02,0.0850,155.957200,10.6516980000,1.251320
166,SSE Airtricity,NS-DN Standard meter Fixed Rate,urban,day/night,0.0000,12 months,309.570900,42.248400,32.1986000000,32.1986000000,19.9797000000,,,,19.5000,[],0.000000,2025-06-24,,,,
167,SSE Airtricity,NS-DN Standard meter Fixed Rate,rural,day/night,0.0000,12 months,376.998300,42.248400,32.1986000000,32.1986000000,19.9797000000,,,,19.5000,[],0.000000,2025-06-24,,,,
178,SSE Airtricity,NS-DN Standard meter Fixed Rate,urban dual,day/night,0.0000,12 months,309.570900,42.248400,32.1986000000,32.1986000000,19.9797000000,,,,19.5000,[],0.000000,2025-07-31,0.0000,152.294800,9.5920000000,1.251320
179,SSE Airtricity,NS-DN Standard meter Fixed Rate,rural dual,day/night,0.0000,12 months,376.998300,42.248400,32.1986000000,32.1986000000,19.9797000000,,,,19.5000,[],0.000000,2025-07-31,0.0000,152.294800,9.5920000000,1.251320
160,SSE Airtricity,NS-DN Standard meter Top discount,urban,day/night,0.3500,12 months,309.570900,42.248400,24.9392000000,24.9392000000,15.4736400000,,,,19.5000,[],0.000000,2025-06-24,,,,
161,SSE Airtricity,NS-DN Standard meter Top discount,rural,day/night,0.3500,12 months,376.998300,42.248400,24.9392000000,24.9392000000,15.4736400000,,,,19.5000,[],0.000000,2025-06-24,,,,
170,SSE Airtricity,NS-DN Standard meter Top discount,urban dual,day/night,0.3500,12 months,309.570900,42.248400,24.9392000000,24.9392000000,15.4736400000,,,,19.5000,[],0.000000,2025-07-31,0.3000,152.294800,7.9657200000,1.251320
171,SSE Airtricity,NS-DN Standard meter Top discount,rural dual,day/night,0.3500,12 months,376.998300,42.248400,24.9392000000,24.9392000000,15.4736400000,,,,19.5000,[],0.000000,2025-07-31,0.3000,152.294800,7.9657200000,1.251320
162,SSE Airtricity,NS-DN Standard meter Top discount + Welcome Credit,urban,day/night,0.3000,12 months,309.570900,42.248400,26.8576000000,26.8576000000,16.6639200000,,,,19.5000,[],125.001200,2025-06-24,,,,
163,SSE Airtricity,NS-DN Standard meter Top discount + Welcome Credit,rural,day/night,0.3000,12 months,376.998300,42.248400,26.8576000000,26.8576000000,16.6639200000,,,,19.5000,[],125.001200,2025-06-24,,,,
174,SSE Airtricity,NS-DN Standard meter Top discount + Welcome Credit,urban dual,day/night,0.3000,12 months,309.570900,42.248400,26.8576000000,26.8576000000,16.6639200000,,,,19.5000,[],125.001200,2025-07-31,0.3000,152.294800,7.9657200000,1.251320
175,SSE Airtricity,NS-DN Standard meter Top discount + Welcome Credit,rural dual,day/night,0.3000,12 months,376.998300,42.248400,26.8576000000,26.8576000000,16.6639200000,,,,19.5000,[],125.001200,2025-07-31,0.3000,152.294800,7.9657200000,1.251320
